;X2020;X2019;X2018;X2017;X2016;X2015
1;1301;1341;1561;1678;1340;1423
2;1349;1389;1541;1731;1243;1494
3;1397;1358;1494;1746;1323;1524
4;1398;1403;1397;1657;1351;1480
5;1409;1439;1397;1564;1345;1590
6;1369;1481;1441;1592;1340;1656
7;1365;1555;1458;1402;1313;1805
8;1340;1527;1478;1383;1380;1772
9;1316;1527;1636;1395;1320;1729
10;1324;1452;1532;1348;1355;1549
11;1356;1379;1482;1262;1278;1541
12;1485;1351;1380;1239;1294;1435
13;1576;1322;1348;1183;1269;1293
14;1797;1382;1339;1234;1242;1302
15;1581;1222;1300;1201;1224;1229
16;1487;1308;1229;1181;1139;1284
17;1259;1233;1147;1223;1175;1215
