2014;2015;2016;2017;2018;2019;2020;average;;;;;;
781;937;870;1006;938;871;859;901;;;;;;
805;977;864;1048;872;827;948;899;;;;;;
830;913;939;928;945;811;834;894;;;;;;
809;930;937;866;857;834;859;872;;;;;;
836;911;881;914;881;889;815;885;;;;;;
817;898;852;823;904;843;796;856;;;;;;
817;866;826;845;927;914;855;866;;;;;;
801;931;764;898;917;828;809;857;;;;;;
810;925;873;863;907;819;834;866;;;;;;
789;975;762;822;950;833;788;855;;;;;;
812;836;798;804;867;836;816;826;;;;;;
795;785;802;788;905;805;788;813;;;;;;
757;795;759;756;807;790;820;777;;;;;;
836;786;802;809;819;781;802;806;;;;;;
753;795;773;776;827;757;803;780;;;;;;
858;777;756;758;778;761;763;781;;;;;;
732;749;755;816;781;799;676;772;;;;;;
