week,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,2353,2277,2390,2313,2228,2258,2483,2148,2549,2382,2337,2299
2,2508,2361,2308,2212,2270,2187,2588,2239,2742,2317,2363,2353
3,2675,2326,2223,2232,2297,2086,2480,2270,2609,2336,2276,2268
4,2571,2204,2084,2232,2406,2078,2589,2305,2663,2253,2403,2203
5,2520,2244,2061,2346,2569,2227,2711,2182,3008,2355,2430,2342
6,2600,2215,2084,2463,2483,2177,2788,2192,2694,2353,2585,2191
7,2406,2208,2118,2673,2432,2209,2786,2121,2659,2565,2380,2246
8,2199,2207,2035,2776,2489,2206,2781,2165,2401,2628,2436,2347
9,2281,2154,1984,2639,2498,2050,2487,2315,2343,3002,2395,2214
10,2115,2160,2129,2483,2525,2148,2473,2315,2127,3016,2360,2172
11,2017,2097,2070,2463,2375,2186,2434,2232,2074,2724,2311,2251
12,1961,2088,2086,2236,2377,2148,2286,2337,2104,2594,2196,2704
13,1936,2017,1996,2179,2347,2068,2198,2255,2068,2460,2049,3422
14,1955,1987,1986,2083,2455,2128,2211,2169,1974,2203,2128,4112
15,1959,1918,1875,2129,2376,1991,2194,2142,1931,2175,2012,4180
16,1989,1891,2001,2116,2223,1926,2097,2096,1942,2044,2101,3506
17,1891,1959,2001,2014,2118,2000,2049,1974,2035,1953,2069,2034
