year,week,deaths
1924,24,1
1928,1,1
1935,1,1
1936,1,1
1937,14,1
1938,52,1
1942,2,2
1942,8,1
1942,18,1
1942,26,2
1942,31,1
1943,9,1
1943,18,1
1943,38,1
1944,11,1
1944,13,1
1944,15,1
1944,21,2
1945,15,2
1945,52,1
1947,43,1
1947,45,1
1949,8,1
1951,52,1
1952,41,1
1958,17,1
1959,7,1
1960,3,1
1960,15,1
1960,23,1
1961,6,1
1961,22,1
1962,12,1
1962,33,1
1962,39,1
1962,47,1
1962,49,1
1963,8,1
1964,3,1
1964,26,1
1964,29,1
1964,47,1
1965,2,1
1965,23,1
1965,35,1
1966,1,1
1966,23,1
1966,24,1
1966,26,1
1966,36,1
1966,42,1
1966,49,1
1967,1,1
1967,19,1
1967,27,1
1967,28,1
1967,46,1
1968,25,1
1968,26,1
1968,38,1
1968,50,1
1969,18,1
1969,32,1
1969,36,1
1969,51,1
1970,8,1
1970,10,1
1970,11,1
1970,14,1
1970,15,1
1970,25,1
1970,35,1
1971,3,1
1971,16,1
1971,29,1
1971,42,1
1971,49,1
1971,53,1
1972,1,3
1972,2,2
1972,3,1
1972,4,1
1972,5,1
1972,6,1
1972,8,1
1972,9,3
1972,10,1
1972,13,1
1972,18,1
1972,19,1
1972,23,1
1972,46,1
1973,17,1
1973,28,1
1973,50,1
1974,30,1
1974,45,1
1974,52,1
1975,5,1
1975,11,1
1975,28,1
1975,35,1
1976,3,1
1976,11,1
1976,39,1
1976,43,1
1977,1,1
1977,31,1
1977,42,1
1977,49,1
1977,50,1
1978,1,1
1978,4,1
1978,9,1
1978,31,1
1979,16,1
1979,23,1
1979,25,1
1979,46,1
1980,14,1
1980,30,1
1981,15,1
1981,36,1
1981,45,1
1982,10,2
1982,16,1
1982,19,1
1982,26,1
1982,33,1
1982,38,1
1982,44,1
1982,50,1
1982,51,1
1983,14,1
1983,19,1
1983,20,1
1983,24,1
1983,36,1
1983,47,1
1984,6,1
1984,28,1
1984,46,1
1985,10,1
1985,29,1
1985,34,1
1985,52,1
1986,9,1
1986,14,1
1986,15,1
1986,26,1
1986,36,1
1986,41,1
1987,13,1
1987,23,1
1987,38,1
1987,46,1
1988,16,1
1988,21,2
1988,29,1
1989,12,1
1989,15,1
1989,16,1
1989,24,1
1989,27,1
1989,39,1
1989,48,1
1990,12,1
1990,21,1
1990,33,2
1990,48,1
1991,11,1
1991,12,1
1991,14,1
1991,15,1
1991,20,1
1991,33,1
1991,39,1
1991,41,1
1991,52,1
1992,5,1
1992,12,1
1992,13,1
1992,16,1
1992,17,1
1992,18,1
1992,19,1
1992,23,1
1992,24,1
1992,25,1
1992,26,1
1992,35,1
1992,39,1
1993,6,1
1993,9,1
1993,10,2
1993,11,1
1993,15,1
1993,31,1
1993,39,2
1993,42,2
1994,1,1
1994,6,1
1994,10,1
1994,24,1
1994,30,1
1994,32,1
1994,33,1
1994,40,1
1994,49,1
1994,50,1
1995,1,1
1995,4,1
1995,5,1
1995,9,1
1995,12,1
1995,13,1
1995,14,1
1995,20,2
1995,21,1
1995,24,2
1995,25,1
1995,28,1
1995,30,1
1995,33,3
1995,34,1
1995,35,1
1995,36,2
1995,38,2
1995,39,1
1995,40,1
1995,44,1
1995,45,1
1995,48,2
1995,49,2
1996,5,1
1996,9,1
1996,10,1
1996,14,1
1996,22,1
1996,27,2
1996,30,2
1996,31,1
1996,32,1
1996,36,1
1996,40,1
1996,44,2
1996,50,3
1996,52,1
1997,1,2
1997,8,2
1997,9,1
1997,10,1
1997,12,1
1997,13,1
1997,14,1
1997,16,1
1997,21,1
1997,23,2
1997,25,1
1997,26,3
1997,27,1
1997,33,1
1997,38,1
1997,39,1
1997,41,2
1997,42,1
1997,44,1
1997,51,1
1998,2,2
1998,4,2
1998,5,1
1998,6,1
1998,9,1
1998,12,1
1998,13,1
1998,14,1
1998,15,3
1998,17,3
1998,22,1
1998,24,1
1998,25,1
1998,27,1
1998,30,2
1998,31,3
1998,33,1
1998,35,2
1998,50,3
1998,52,2
1999,1,2
1999,3,1
1999,5,1
1999,8,1
1999,13,1
1999,14,2
1999,21,1
1999,23,2
1999,24,3
1999,25,1
1999,28,2
1999,30,1
1999,32,1
1999,35,1
1999,38,1
1999,39,1
1999,42,1
1999,43,2
1999,44,1
1999,48,1
1999,51,1
1999,52,1
2000,1,1
2000,2,1
2000,5,1
2000,6,1
2000,8,2
2000,10,2
2000,15,2
2000,17,5
2000,18,1
2000,19,1
2000,22,2
2000,23,2
2000,24,1
2000,26,3
2000,31,2
2000,32,1
2000,33,1
2000,35,1
2000,37,1
2000,43,1
2000,45,1
2000,49,1
2000,50,1
2000,52,1
2001,1,1
2001,3,2
2001,4,1
2001,5,2
2001,6,1
2001,7,1
2001,8,1
2001,9,1
2001,11,1
2001,15,1
2001,16,1
2001,17,1
2001,18,1
2001,20,1
2001,21,2
2001,27,1
2001,28,1
2001,32,1
2001,33,2
2001,34,1
2001,35,1
2001,36,1
2001,38,2
2001,40,1
2001,41,4
2001,45,1
2001,50,1
2001,51,3
2002,1,2
2002,2,1
2002,5,1
2002,7,2
2002,8,2
2002,9,1
2002,14,1
2002,15,3
2002,16,2
2002,17,2
2002,18,1
2002,20,1
2002,21,2
2002,23,1
2002,24,2
2002,25,1
2002,28,1
2002,36,3
2002,37,2
2002,39,1
2002,40,4
2002,42,1
2002,43,1
2002,45,1
2002,46,1
2002,47,2
2002,52,1
2003,2,1
2003,4,2
2003,8,1
2003,9,1
2003,10,1
2003,11,1
2003,12,4
2003,13,2
2003,15,2
2003,16,2
2003,18,2
2003,22,2
2003,24,2
2003,25,1
2003,26,1
2003,27,1
2003,28,2
2003,31,2
2003,33,1
2003,34,1
2003,36,1
2003,37,1
2003,38,2
2003,41,1
2003,42,1
2003,43,1
2003,47,1
2003,50,1
2003,51,1
2003,52,1
2004,1,1
2004,2,3
2004,3,3
2004,4,1
2004,5,2
2004,10,2
2004,13,2
2004,14,1
2004,15,1
2004,16,1
2004,17,1
2004,20,2
2004,21,1
2004,24,1
2004,25,2
2004,26,2
2004,29,1
2004,30,1
2004,32,1
2004,34,1
2004,37,2
2004,38,1
2004,42,2
2004,43,1
2004,51,1
2005,1,1
2005,2,2
2005,3,2
2005,5,1
2005,6,1
2005,9,2
2005,10,3
2005,12,1
2005,14,1
2005,17,1
2005,19,1
2005,21,1
2005,22,1
2005,23,2
2005,24,1
2005,26,1
2005,27,1
2005,28,1
2005,29,1
2005,30,1
2005,31,1
2005,33,1
2005,34,1
2005,35,1
2005,37,1
2005,38,2
2005,39,1
2005,40,1
2005,41,1
2005,42,2
2005,43,3
2005,44,1
2005,45,2
2005,47,1
2005,51,2
2005,52,2
2006,3,4
2006,5,2
2006,6,1
2006,9,2
2006,11,1
2006,12,2
2006,13,1
2006,16,2
2006,18,1
2006,21,1
2006,24,1
2006,25,1
2006,26,3
2006,27,1
2006,28,2
2006,29,1
2006,30,1
2006,31,1
2006,32,1
2006,33,1
2006,36,3
2006,40,1
2006,41,1
2006,43,1
2006,44,2
2006,46,1
2006,47,1
2006,49,3
2006,51,1
2007,1,2
2007,3,1
2007,5,1
2007,6,1
2007,8,1
2007,9,1
2007,11,2
2007,12,1
2007,13,1
2007,14,1
2007,15,2
2007,16,1
2007,19,1
2007,23,1
2007,26,1
2007,28,2
2007,29,2
2007,30,1
2007,31,2
2007,32,3
2007,33,1
2007,35,1
2007,36,2
2007,38,2
2007,39,2
2007,40,1
2007,42,1
2007,44,1
2007,45,1
2007,46,4
2007,48,1
2007,49,1
2007,50,3
2007,51,1
2007,52,2
2008,1,1
2008,2,1
2008,3,1
2008,4,1
2008,5,1
2008,7,1
2008,8,2
2008,9,2
2008,12,2
2008,13,2
2008,14,1
2008,18,3
2008,20,2
